question,summary_answer,difficulty,intent,filename
data definition mapping examples,The article details how to create a `DataDefinition` to map column types and roles for data evaluation processes in Evidently.,beginner,code,docs/library/data_definition.mdx
create Dataset object Evidently,"To create a `Dataset` object, you can use the `Dataset.from_pandas` method along with a configured `DataDefinition` to properly map your data columns.",beginner,code,docs/library/data_definition.mdx
column types in DataDefinition,"The article explains the different column types like numerical, categorical, and text that can be mapped using `DataDefinition`, crucial for correct data evaluation.",intermediate,text,docs/library/data_definition.mdx
define regression mappings,"For regression checks, you must designate your target and prediction columns using a `DataDefinition`, as illustrated in the provided code examples.",intermediate,code,docs/library/data_definition.mdx
using pandas DataFrame with Evidently,"You can pass a `pandas.DataFrame` directly to evidently's report functions, but it's recommended to create a `Dataset` object for better control and clarity.",intermediate,text,docs/library/data_definition.mdx
manual vs automatic column mapping Evidently,The article discusses the pros and cons of manual mapping versus automatic mapping of columns in `DataDefinition` when preparing datasets for evaluation.,advanced,text,docs/library/data_definition.mdx
map target and prediction columns,"The framework allows you to specify your target and prediction columns for regression models using the `DataDefinition`, ensuring your evaluations run correctly.",intermediate,code,docs/library/data_definition.mdx
examples of text columns mapping,"You can define text columns in `DataDefinition` for LLM evaluations, ensuring they are processed correctly in the evaluation pipeline.",beginner,code,docs/library/data_definition.mdx
Evidently column role assignments,"The article explains how to specify roles such as `id` and `timestamp` in your `DataDefinition`, which help the evaluation framework function correctly.",intermediate,text,docs/library/data_definition.mdx
input data flexibility Evidently,"The article notes the flexibility in input data structure when using Evidently, allowing a mix of data types in the `Dataset` for evaluations.",beginner,text,docs/library/data_definition.mdx
multiple datasets for drift detection,"If evaluating drift, it’s necessary to create two datasets, ensuring both adhere to the same data definition for accuracy in comparisons.",advanced,code,docs/library/data_definition.mdx
create descriptors for text evaluation,Descriptors are universal interfaces for evaluating text data. You can create them using built-in options or custom prompts.,beginner,code,docs/library/descriptors.mdx
how to use evidently library for text evaluation,"The Evidently library allows you to evaluate text data by defining descriptors, utilizing various built-in metrics and customizing them for specific needs.",beginner,text,docs/library/descriptors.mdx
generate sample data for text evaluation,You can create toy data using pandas to simulate questions and answers for testing text evaluation descriptors.,beginner,code,docs/library/descriptors.mdx
combine multiple descriptors in evident,"Evidently allows you to combine multiple descriptors to evaluate and score datasets effectively, facilitating comprehensive insights into text data.",intermediate,code,docs/library/descriptors.mdx
export results from text evaluation,You can export evaluation results to various formats like HTML or JSON directly from the Evidently library report generation process.,intermediate,code,docs/library/descriptors.mdx
using LLM judges for evaluation,"You can integrate external LLMs as judges for scoring text data, providing an advanced evaluation mechanism when added as descriptors.",advanced,code,docs/library/descriptors.mdx
how to add tests to descriptors,"You can set pass/fail conditions in your descriptors by adding tests that check various attributes, enhancing your evaluation strategy.",intermediate,code,docs/library/descriptors.mdx
understanding descriptor parameters,"Each descriptor may have specific parameters essential for its functionality, which can be configured according to your evaluation needs.",intermediate,text,docs/library/descriptors.mdx
report generation in evidently library,"Evidently allows you to generate detailed reports summarizing evaluation results and descriptors, making it easier to analyze insights.",beginner,text,docs/library/descriptors.mdx
multi-column descriptors for semantic similarity,"Use multi-column descriptors to evaluate semantic similarity, allowing you to compare two text columns for nuanced assessments.",advanced,code,docs/library/descriptors.mdx
custom descriptors implementation,You can implement your custom descriptors in Python to tailor your text evaluations beyond the standard options provided by the library.,advanced,code,docs/library/descriptors.mdx
integration of metadata checks in evaluation,"You can apply checks to existing columns, like metadata, using ColumnTest, which enhances the robustness of your text evaluation framework.",intermediate,code,docs/library/descriptors.mdx
Evidently eval workflow steps,"The article outlines the eval workflow using Evidently, including key steps like preparing input data, creating a Dataset object, and running reports.",beginner,text,docs/library/evaluations_overview.mdx
Create Dataset object with Evidently,"To create a Dataset object, use the `Dataset.from_pandas()` method with a `DataDefinition()` to specify column roles and types, as described in the article.",intermediate,code,docs/library/evaluations_overview.mdx
Add descriptors in Evidently eval,"For text evaluations, you can add descriptors using the `add_descriptors()` method to compute row-level metrics, enhancing the evaluation process.",advanced,code,docs/library/evaluations_overview.mdx
